[0.000000] (-) TimerEvent: {}
[0.000130] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000149] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000159] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000168] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000176] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000184] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000192] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000200] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000208] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.000216] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.000224] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.000232] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.000240] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.000248] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.000255] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.000263] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.000271] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.000279] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.000287] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.000297] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.000306] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.000314] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.000322] (-) JobUnselected: {'identifier': 'my_package'}
[0.000330] (-) JobUnselected: {'identifier': 'py_aquisition'}
[0.000338] (-) JobUnselected: {'identifier': 'turtlesim'}
[0.000346] (-) EventReactorShutdown: {}
